	sentence	masked_sen	label
1253	Fear seized the prisoners	Fear [MASK] the prisoners	1
1254	These books sell like hot cakes.	These books [MASK] like hot cakes.	0
1255	The French try to sell us their image as great lovers.	The French try to [MASK] us their image as great lovers.	1
1256	The brothers sell shoes.	The brothers [MASK] shoes.	0
1257	This robot can sense the presence of people in the room	This robot can [MASK] the presence of people in the room	0
1258	I sense his hostility	I [MASK] his hostility	0
1259	I sensed the real meaning of his letter	I [MASK] the real meaning of his letter	0
1260	He was not sensitized to her emotional needs	He was not [MASK] to her emotional needs	0
1261	She sensitized me with respect to gender differences in this traditional male-dominated society	She [MASK] me with respect to gender differences in this traditional male-dominated society	1
1262	Long-term exposure to this medicine may sensitize you to the allergen	Long-term exposure to this medicine may [MASK] you to the allergen	0
1263	sensitize the photographic film	[MASK] the photographic film	0
1264	the estate was sequestered	the estate was [MASK]	0
1265	The cations were sequestered	The cations were [MASK]	0
1266	He sequestered himself in his study to write a book	He [MASK] himself in his study to write a book	0
1267	The dentist sequesters the tooth he is working on	The dentist [MASK] the tooth he is working on	0
1268	The bad news shook her hopes.	The bad news [MASK] her hopes.	1
1269	I couldn't shake the car that was following me.	I couldn't [MASK] the car that was following me.	1
1270	Shake the salt out of the salt shaker.	[MASK] the salt out of the salt shaker.	0
1271	We had to sharpen our arguments	We had to [MASK] our arguments	1
1272	The debate sharpened	The debate [MASK]	1
1273	This drug will sharpen your vision	This drug will [MASK] your vision	1
1274	He shed his image as a pushy boss.	He [MASK] his image as a pushy boss.	1
1275	She shed a lot of tears when this happened.	She [MASK] a lot of tears when this happened.	0
1276	Our dog sheds every Spring.	Our dog [MASK] every Spring.	0
1277	You have shipwrecked my career.	You have [MASK] my career.	1
1278	They were shipwrecked in one of the mysteries at sea.	They were [MASK] in one of the mysteries at sea.	0
1279	The vessel was shipwrecked.	The vessel was [MASK].	0
1280	He shortened his trip due to illness	He [MASK] his trip due to illness	0
1281	The manuscript must be shortened	The manuscript must be [MASK]	0
1282	shorten the rope by a few inches	[MASK] the rope by a few inches	0
1283	"""In winter, the days shorten"""	"""In winter, the days [MASK]"""	0
1284	He was showered with praise	He was [MASK] with praise	1
1285	The guests showered rice on the couple	The guests [MASK] rice on the couple	0
1286	You should shower after vigorous exercise	You should [MASK] after vigorous exercise	0
1287	Meteors showered down over half of Australia	Meteors [MASK] down over half of Australia	0
1288	He showered her with presents	He [MASK] her with presents	1
1289	The soldiers sifted through the woods.	The soldiers [MASK] through the woods.	1
1290	He sifted the information.	He [MASK] the information.	1
1291	They sifted through the job candidates.	They [MASK] through the job candidates.	1
1292	She signed the letter and sent it off.	She [MASK] the letter and sent it off.	0
1293	He signed to play the casino on December 18.	He [MASK] to play the casino on December 18.	0
1294	They signed two new pitchers for the next season.	They [MASK] two new pitchers for the next season.	1
1295	He signed his disapproval with a dismissive hand gesture.	He [MASK] his disapproval with a dismissive hand gesture.	1
1296	This road has been signed.	This road has been [MASK].	0
1297	"""I don't know how to sign, so I could not communicate with my deaf cousin."""	"""I don't know how to [MASK], so I could not communicate with my deaf cousin."""	0
1298	She was singing while she was cooking	She was [MASK] while she was cooking	0
1299	The nightingale was singing	The nightingale was [MASK]	0
1300	the kettle was singing	the kettle was [MASK]	1
1301	When does the court of law sit?	When does the court of law [MASK]	1
1302	The White House sits on Pennsylvania Avenue	The White House [MASK] on Pennsylvania Avenue	1
1303	I cannot baby-sit tonight; I have too much homework to do	I cannot baby-[MASK] tonight; I have too much homework to do	1
1304	He smashed a 3-run homer	He [MASK] a 3-run homer	1
1305	She smashed her car against the guard rail	She [MASK] her car against the guard rail	0
1306	The motorcycle smashed into the guard rail	The motorcycle [MASK] into the guard rail	0
1307	The police smashed the drug ring after they were tipped off	The police [MASK] the drug ring after they were tipped off	1
1308	smother the meat in gravy	[MASK] the meat in gravy	0
1309	Othello smothered Desdemona with a pillow	Othello [MASK] Desdemona with a pillow	0
1310	the butter cream smothered the cake	the butter cream [MASK] the cake	1
1311	she snorted her disapproval of the proposed bridegroom	she [MASK] her disapproval of the proposed bridegroom	1
1312	The critic snorted contemptuously	The critic [MASK] contemptuously	0
1313	The addict was snorting cocaine almost every day	The addict was [MASK] cocaine almost every day	0
1314	He never socializes with his colleagues	He never [MASK] with his colleagues	0
1315	The children must be properly socialized	The children must be properly [MASK]	0
1316	Children have to be socialized in school	Children have to be [MASK] in school	0
1317	Health care should be socialized!	Health care should be [MASK]	0
1318	Henry IV solicited the Pope for a divorce.	Henry IV [MASK] the Pope for a divorce.	0
1319	He was solicited by a prostitute.	He was [MASK] by a prostitute.	0
1320	He was accused of soliciting his colleagues to destroy the documents.	He was accused of [MASK] his colleagues to destroy the documents.	0
1321	She is too shy to solicit.	She is too shy to [MASK].	0
1322	This sounds interesting	This [MASK] interesting	0
1323	This record sounds scratchy	This record [MASK] scratchy	0
1324	sound a certain note	[MASK] a certain note	0
1325	She sowed sunflower seeds	She [MASK] sunflower seeds	0
1326	sow suspicion or beliefs	[MASK] suspicion or beliefs	1
1327	sow the ground with sunflower seeds	[MASK] the ground with sunflower seeds	0
1328	Bullets were spatting down on us	Bullets were [MASK] down on us	0
1329	mollusks or oysters spat	mollusks or oysters [MASK]	0
1330	Bullets were spatting the leaves	Bullets were [MASK] the leaves	0
1331	She specializes in Near Eastern history	She [MASK] in Near Eastern history	0
1332	specialize one's research	[MASK] one's research	0
1333	She specializes in honey bees	She [MASK] in honey bees	0
1334	How do you spell this word?	How do you [MASK] this word?	0
1335	I'm afraid this spells trouble!	I'm afraid this [MASK] trouble!	1
1336	He spelled the word wrong in this letter	He [MASK] the word wrong in this letter	0
1337	She spelled her husband at the wheel	She [MASK] her husband at the wheel	1
1338	the workers spell every four hours	the workers [MASK] every four hours	1
1339	She splashed the water around her.	She [MASK] the water around her.	0
1340	The mother splashed the baby's face with water.	The mother [MASK] the baby's face with water.	0
1341	The mountain was splashed with snow.	The mountain was [MASK] with snow.	1
1342	Water was splashing on the floor.	Water was [MASK] on the floor.	0
1343	The wine spotted the tablecloth	The wine [MASK] the tablecloth	0
1344	This dress spots quickly	This dress [MASK] quickly	0
1345	spot the areas that one should clearly identify	[MASK] the areas that one should clearly identify	0
1346	Water sprayed all over the floor	Water [MASK] all over the floor	0
1347	spray water on someone	[MASK] water on someone	0
1348	spray the wall with paint	[MASK] the wall with paint	0
1349	The invaders spread their language all over the country	The invaders [MASK] their language all over the country	0
1350	spread cheese on a piece of bread	[MASK] cheese on a piece of bread	0
1351	the infection spread	the infection [MASK]	0
1352	A big oil spot spread across the water	A big oil spot [MASK] across the water	0
1353	He spread fertilizer over the lawn	He [MASK] fertilizer over the lawn	0
1354	spread the bread with cheese	[MASK] the bread with cheese	0
1355	square the wood with a file	[MASK] the wood with a file	0
1356	He squared his shoulders	He [MASK] his shoulders	1
1357	one idea squares with the other one	one idea [MASK] with the other one	1
1358	The drunken man staggered into the room.	The drunken man [MASK] into the room.	0
1359	He staggered along in the heavy snow.	He [MASK] along in the heavy snow.	0
1360	The architect decided to stagger the chairs in the lecture hall.	The architect decided to [MASK] the chairs in the lecture hall.	0
1361	She was staggered with bills after she tried to rebuild her house following the earthquake.	She was [MASK] with bills after she tried to rebuild her house following the earthquake.	1
1362	Industry will stagnate if we do not stimulate our economy	Industry will [MASK] if we do not stimulate our economy	0
1363	There are marshes that stagnate the waters	There are marshes that [MASK] the waters	0
1364	blood stagnates in the capillaries	blood [MASK] in the capillaries	0
1365	The old man sat and stagnated on his porch	The old man sat and [MASK] on his porch	0
1366	The car stalled in the driveway	The car [MASK] in the driveway	0
1367	"""she doesn't want to write the report, so she is stalling"""	"""she doesn't want to write the report, so she is [MASK]"""	0
1368	The inexperienced driver kept stalling the car	The inexperienced driver kept [MASK] the car	0
1369	a man whose name is permanently stamped on our maps	a man whose name is permanently [MASK] on our maps	1
1370	His playing stamps him as a Romantic	His playing [MASK] him as a Romantic	1
1371	Are the letters properly stamped?	Are the letters properly [MASK]	0
1372	stamp fruit extract the juice	[MASK] fruit extract the juice	1
1373	Thunderbolts can stampede animals	Thunderbolts can [MASK] animals	0
1374	The tavern owners stampeded us into overeating	The tavern owners [MASK] us into overeating	1
1375	Companies will now stampede to release their latest software	Companies will now [MASK] to release their latest software	1
1376	The ship steamed off into the Pacific	The ship [MASK] off into the Pacific	0
1377	The rain forest was literally steaming	The rain forest was literally [MASK]	0
1378	her indifference to his amorous advances really steamed the young man	her indifference to his amorous advances really [MASK] the young man	1
1379	steam-clean the upholstered sofa	[MASK] the upholstered sofa	0
1380	just steam the vegetables	just [MASK] the vegetables	0
1381	The Senator steamrollered the bill to defeat	The Senator [MASK] the bill to defeat	1
1382	The new teacher tends to steamroller	The new teacher tends to [MASK]	1
1383	steamroller the opposition	[MASK] the opposition	1
1384	The Senator steamrollered the bill to defeat	The Senator [MASK] the bill to defeat	1
1385	The new teacher tends to steamroller	The new teacher tends to [MASK]	1
1386	steamroller the road	[MASK] the road	0
1387	steamroller the opposition	[MASK] the opposition	1
1388	She stepped into a life of luxury	She [MASK] into a life of luxury	1
1389	The architect wants to step the terrace	The architect wants to [MASK] the terrace	0
1390	step over to the blackboard	[MASK] over to the blackboard	0
1391	The book stimulated her imagination	The book [MASK] her imagination	0
1392	Coffee and tea stimulate me	Coffee and tea [MASK] me	0
1393	stimulate my appetite	[MASK] my appetite	0
1394	I won't stoop to reading other people's mail.	I won't [MASK] to reading other people's mail.	1
1395	The eagle stooped on the mice in the field.	The eagle [MASK] on the mice in the field.	0
1396	The rocks stooped down over the hiking path.	The rocks [MASK] down over the hiking path.	1
1397	The old man was stooping but he could walk around without a cane.	The old man was [MASK] but he could walk around without a cane.	0
1398	their manes streamed like stiff black pennants in the wind	their manes [MASK] like stiff black pennants in the wind	1
1399	She was streaming with sweat	She was [MASK] with sweat	1
1400	Tears streamed down her face	Tears [MASK] down her face	0
1401	The child stuffed candy into his pockets	The child [MASK] candy into his pockets	0
1402	My nose is all stuffed	My nose is all [MASK]	0
1403	She stuffed herself at the dinner	She [MASK] herself at the dinner	1
1404	stuff a pillow with feathers	[MASK] a pillow with feathers	0
1405	Have you stuffed the turkey yet?	Have you [MASK] the turkey yet?	0
1406	The drunk man stumbled about	The drunk man [MASK] about	0
1407	She stumbled over the tree root	She [MASK] over the tree root	0
1408	I stumbled across a long-lost cousin last night in a restaurant	I [MASK] across a long-lost cousin last night in a restaurant	1
1409	suck the poison from the place where the snake bit	[MASK] the poison from the place where the snake bit	0
1410	Mud was sucking at her feet	Mud was [MASK] at her feet	1
1411	The current boom in the economy sucked many workers in from abroad	The current boom in the economy [MASK] many workers in from abroad	1
1412	The wetnurse suckled the infant	The wetnurse [MASK] the infant	0
1413	He supplicated the King for clemency	He [MASK] the King for clemency	0
1414	supplicate for permission	[MASK] for permission	0
1415	supplicate God's blessing	[MASK] God's blessing	0
1416	The secret police suspended their victims from the ceiling and beat them.	The secret police [MASK] their victims from the ceiling and beat them.	0
1417	The fluid suspends the particles.	The fluid [MASK] the particles.	1
1418	They suspended payments on the loan.	They [MASK] payments on the loan.	0
1419	The prison sentence was suspended.	The prison sentence was [MASK].	0
1420	We sustained the diplomatic negotiations as long as possible	We [MASK] the diplomatic negotiations as long as possible	0
1421	We sustained ourselves on bread and water	We [MASK] ourselves on bread and water	0
1422	She alone sustained her family	She alone [MASK] her family	0
1423	The court sustained the motion	The court [MASK] the motion	0
1424	The Nazis swallowed the Baltic countries	The Nazis [MASK] the Baltic countries	1
1425	The huge waves swallowed the small boat and it sank shortly thereafter	The huge waves [MASK] the small boat and it sank shortly thereafter	1
1426	She swallowed the last words of her speech	She [MASK] the last words of her speech	1
1427	He swallowed his words	He [MASK] his words	1
1428	I swallowed my anger and kept quiet	I [MASK] my anger and kept quiet	1
1429	Am I supposed to swallow that story?	Am I supposed to [MASK] that story?	1
1430	The music swelled to a crescendo	The music [MASK] to a crescendo	1
1431	The mother was swelling with importance when she spoke of her son	The mother was [MASK] with importance when she spoke of her son	1
1432	The bellies of the starving children are swelling	The bellies of the starving children are [MASK]	0
1433	The water swells the wood	The water [MASK] the wood	0
1434	We had to swim for 20 minutes to reach the shore	We had to [MASK] for 20 minutes to reach the shore	0
1435	my brain is swimming after the bottle of champagne	my brain is [MASK] after the bottle of champagne	1
1436	the meat was swimming in a fatty gravy	the meat was [MASK] in a fatty gravy	1
1437	this snake swims through the soil where it lives	this snake [MASK] through the soil where it lives	0
1438	Let's synchronize our efforts	Let's [MASK] our efforts	0
1439	synchronize this film	[MASK] this film	0
1440	synchronize biblical events	[MASK] biblical events	0
1441	The clocks synchronize	The clocks [MASK]	0
1442	synchronize your watches	[MASK] your watches	0
1443	tack the notice on the board	[MASK] the notice on the board	0
1444	The sailors decided to tack the boat	The sailors decided to [MASK] the boat	0
1445	He tacked together some verses	He [MASK] together some verses	1
1446	Actions talk louder than words.	Actions [MASK] louder than words.	1
1447	She talks a lot of nonsense.	She [MASK] a lot of nonsense.	0
1448	The baby talks already.	The baby [MASK] already.	0
1449	"""If you don't oblige me, I'll talk!"""	"""If you don't oblige me, I'll [MASK]!"""	0
1450	Be carefu l-- his secretary talks.	Be carefu l-- his secretary [MASK].	0
1451	She will talk at Rutgers next week.	She will [MASK] at Rutgers next week.	0
1452	Can you taste the garlic?	Can you [MASK] the garlic?	0
1453	This tastes of nutmeg	This [MASK] of nutmeg	0
1454	We tasted wines last night	We [MASK] wines last night	0
1455	The ex-slave tasted freedom shortly before she died	The ex-slave [MASK] freedom shortly before she died	1
1456	The State taxes alcohol heavily.	The State [MASK] alcohol heavily.	0
1457	You are taxing my patience.	You are [MASK] my patience.	1
1458	They taxed him failure to appear in court.	They [MASK] him failure to appear in court.	1
1459	The children teased the boy because of his stammer	The children [MASK] the boy because of his stammer	0
1460	The children teased the new teacher	The children [MASK] the new teacher	0
1461	The advertisement is intended to tease the customers	The advertisement is intended to [MASK] the customers	0
1462	tease tissue for microscopic examinations	[MASK] tissue for microscopic examinations	0
1463	the flirting man teased the young woman	the flirting man [MASK] the young woman	0
1464	He could tell that she was unhappy	He could [MASK] that she was unhappy	0
1465	I tell you that man is a crook!	I [MASK] you that man is a crook!	0
1466	he was telling on all his former colleague	he was [MASK] on all his former colleague	0
1467	We were tempted by the delicious-looking food	We were [MASK] by the delicious-looking food	0
1468	He lured me into temptation	He lured me into [MASK]	0
1469	the window displays tempted the shoppers	the window displays [MASK] the shoppers	0
1470	St. Anthony was tempted in the desert	St. Anthony was [MASK] in the desert	0
1471	the bodybuilder's neck muscles tensed;	the bodybuilder's neck muscles [MASK]	0
1472	alternately relax and tense your calf muscle	alternately relax and [MASK] your calf muscle	0
1473	He tensed up when he saw his opponent enter the room	He [MASK] up when he saw his opponent enter the room	0
1474	he got a phone call from his lawyer that tensed him up	he got a phone call from his lawyer that [MASK] him up	0
1475	The teacher tests us every week	The teacher [MASK] us every week	0
1476	He tested positive for HIV	He [MASK] positive for HIV	0
1477	She tested high on the LSAT and was admitted to all the good law schools	She [MASK] high on the LSAT and was admitted to all the good law schools	0
1478	She doesn't test well	She doesn't [MASK] well	0
1479	The men were thrilled by a loud whistle blow	The men were [MASK] by a loud whistle blow	0
1480	he was thrilled by the speed and the roar of the engine	he was [MASK] by the speed and the roar of the engine	0
1481	The children were thrilled at the prospect of going to the movies	The children were [MASK] at the prospect of going to the movies	0
1482	The bus thundered down the road.	The bus [MASK] down the road.	1
1483	The river thundered below.	The river [MASK] below.	1
1484	They tied their victim to the chair	They [MASK] their victim to the chair	0
1485	The teams drew a tie	The teams drew a [MASK]	0
1486	These big jets are tied to large airports	These big jets are [MASK] to large airports	1
1487	The fishermen tied their flies	The fishermen [MASK] their flies	0
1488	The candidate carefully timed his appearance at the disaster scene.	The candidate carefully [MASK] his appearance at the disaster scene.	0
1489	We time the process to manufacture our cars very precisely.	We [MASK] the process to manufacture our cars very precisely.	0
1490	The good player times his swing so as to hit the ball squarely.	The good player [MASK] his swing so as to hit the ball squarely.	0
1491	tip the screen upward	[MASK] the screen upward	0
1492	tip the arrow with the small stone	[MASK] the arrow with the small stone	0
1493	Remember to tip the waiter	Remember to [MASK] the waiter	0
1494	He tipped off the police about the terrorist plot	He [MASK] off the police about the terrorist plot	0
1495	The church was tithed	The church was [MASK]	0
1496	He tithed his income to the Church	He [MASK] his income to the Church	0
1497	"""Although she left the church officially, she still tithes"""	"""Although she left the church officially, she still [MASK]"""	0
1498	They topped off their dinner with a cognac.	They [MASK] off their dinner with a cognac.	1
1499	A star tops the Christmas Tree.	A star [MASK] the Christmas Tree.	0
1500	The towers were topped with conical roofs.	The towers were [MASK] with conical roofs.	0
1501	The hikers topped the mountain just before noon	The hikers [MASK] the mountain just before noon	1
1502	The gardener topped the trees and bushes.	The gardener [MASK] the trees and bushes.	1
1503	trace the outline of a figure in the sand	[MASK] the outline of a figure in the sand	0
1504	The hunters traced the deer into the woods	The hunters [MASK] the deer into the woods	0
1505	She traced the circumstances of her birth	She [MASK] the circumstances of her birth	1
1506	The children traced along the edge of the dark forest	The children [MASK] along the edge of the dark forest	1
1507	John trailed behind his class mates.	John [MASK] behind his class mates.	1
1508	The toddler was trailing his pants.	The toddler was [MASK] his pants.	1
1509	transfer the patient to another hospital	[MASK] the patient to another hospital	0
1510	transfer the packet from his trouser pockets to a pocket in his jacket	[MASK] the packet from his trouser pockets to a pocket in his jacket	0
1511	I transferred my stock holdings to my children	I [MASK] my stock holdings to my children	0
1512	This experience transformed her completely.	This experience [MASK] her completely.	1
1513	He transformed into a monster.	He [MASK] into a monster.	1
1514	It can transform energy to light.	It can [MASK] energy to light.	0
1515	I have to translate when my in-laws from Austria visit the U.S.	I have to [MASK] when my in-laws from Austria visit the U.S.	0
1516	Braque translated collage into oil	Braque [MASK] collage into oil	1
1517	the growth in income translates into greater purchasing power	the growth in income [MASK] into greater purchasing power	0
1518	poetry often does not translate	poetry often does not [MASK]	0
1519	Can you translate the instructions in this manual for a layman?	Can you [MASK] the instructions in this manual for a layman?	0
1520	For fools rush in where angels fear to tread	For fools rush in where angels fear to [MASK]	0
1521	tread grapes to make wine	[MASK] grapes to make wine	0
1522	male birds tread the females	male birds [MASK] the females	0
1523	treat the water so it can be drunk	[MASK] the water so it can be drunk	0
1524	The doctor treated my broken leg	The doctor [MASK] my broken leg	0
1525	Grandmother always treated us to the circus	Grandmother always [MASK] us to the circus	0
1526	Don't worry about the expensive wine--I'm treating	Don't worry about the expensive wine--I'm [MASK]	0
1527	they had to treat with the King	they had to [MASK] with the King	1
1528	I treated his advances as a joke	I [MASK] his advances as a joke	0
1529	He trenched his military camp	He [MASK] his military camp	0
1530	letters trenched into the stone	letters [MASK] into the stone	1
1531	trench the fallen soldiers	[MASK] the fallen soldiers	0
1532	The National Guardsmen were sent out to trench	The National Guardsmen were sent out to [MASK]	0
1533	The prisoner tugged at the chains	The prisoner [MASK] at the chains	0
1534	She tugged for years to make a decent living	She [MASK] for years to make a decent living	1
1535	The tugboat tugged the freighter into the harbor	The [MASK] tugged the freighter into the harbor	0
1536	The horse finally tugged the cart out of the mud	The horse finally [MASK] the cart out of the mud	0
1537	Each oar was tugged by several men	Each oar was [MASK] by several men	0
1538	She tugged and wrestled with her conflicts	She [MASK] and wrestled with her conflicts	1
1539	The wrestler twisted his shoulder	The wrestler [MASK] his shoulder	0
1540	twist the dough into a braid	[MASK] the dough into a braid	0
1541	The cord is all twisted	The cord is all [MASK]	0
1542	Don't twist my words	Don't [MASK] my words	1
1543	She did not understand her husband	She did not [MASK] her husband	0
1544	She understands French	She [MASK] French	0
1545	I understand you have no previous experience?	I [MASK] you have no previous experience?	0
1546	You don't need to explain--I understand!	You don't need to explain--I [MASK]	0
1547	I've upgraded my computer so I can run better software	I've [MASK] my computer so I can run better software	0
1548	I upgraded to First Class when Coach Class was overbooked	I [MASK] to First Class when Coach Class was overbooked	0
1549	The airline upgraded me when I arrived late and Coach Class was full	The airline [MASK] me when I arrived late and Coach Class was full	0
1550	The war uprooted many people.	The war [MASK] many people.	1
1551	The vestiges of political democracy were soon uprooted.	The vestiges of political democracy were soon [MASK].	1
1552	They plan to uproot the vine that has spread all over the garden.	They plan to [MASK] the vine that has spread all over the garden.	0
1553	we only use Spanish at home	we only [MASK] Spanish at home	0
1554	She uses drugs rarely	She [MASK] drugs rarely	0
1555	She uses her influential friends to get jobs	She [MASK] her influential friends to get jobs	0
1556	use care when going down the stairs	[MASK] care when going down the stairs	0
1557	She used to call her mother every week but now she calls only occasionally	She [MASK] to call her mother every week but now she calls only occasionally	0
1558	The effect vanished when day broke	The effect [MASK] when day broke	0
1559	An entire civilization vanished	An entire civilization [MASK]	0
1560	the money vanished in las Vegas	the money [MASK] in las Vegas	0
1561	They vegetated the hills behind their house	They [MASK] the hills behind their house	0
1562	The fields vegetate vigorously	The fields [MASK] vigorously	0
1563	This fungus usually vegetates vigorously	This fungus usually [MASK] vigorously	0
1564	warts and polyps can vegetate if not removed	warts and polyps can [MASK] if not removed	0
1565	The bacterial growth vegetated along	The bacterial growth [MASK] along	0
1566	"""After a hard day's work, I vegetate in front of the television"""	"""After a hard day's work, I [MASK] in front of the television"""	1
1567	They vested the council with special rights	They [MASK] the council with special rights	1
1568	She vested her vast fortune in her two sons	She [MASK] her vast fortune in her two sons	0
1569	The property vests in the trustees	The property [MASK] in the trustees	0
1570	Did you ever visit Paris?	Did you ever [MASK] Paris?	0
1571	The principal visited his rage on the students.	The principal [MASK] his rage on the students.	1
1572	"""Every summer, we visited our relatives in the country for a month."""	"""Every summer, we [MASK] our relatives in the country for a month."""	0
1573	He was visited with a terrible illness that killed him quickly.	He was [MASK] with a terrible illness that killed him quickly.	1
1574	The radiologist can visualize the cancerous liver.	The radiologist can [MASK] the cancerous liver.	0
1575	Mathematicians often visualize.	Mathematicians often [MASK].	1
1576	"""With this machine, ultrasound can be visualized."""	"""With this machine, ultrasound can be [MASK]."""	0
1577	Gun shots volleyed at the attackers.	Gun shots [MASK] at the attackers.	1
1578	They began to volley the tennis ball.	They began to [MASK] the tennis ball.	0
1579	The attackers volleyed gunshots at the civilians.	The attackers [MASK] gunshots at the civilians.	1
1580	I heard him volley a string of curses.	I heard him [MASK] a string of curses.	1
1581	He voted for the motion	He [MASK] for the motion	0
1582	vote the Democratic ticket	[MASK] the Democratic ticket	0
1583	I vote that we all go home	I [MASK] that we all go home	0
1584	vote one's conscience	[MASK] one's conscience	0
1585	They voted aid for the underdeveloped countries in Asia	They [MASK] aid for the underdeveloped countries in Asia	0
1586	Will he vouch for me?	Will he [MASK] for me?	0
1587	I vouch for the quality of my products.	I [MASK] for the quality of my products.	0
1588	He vouched his words by his deeds.	He [MASK] his words by his deeds.	1
1589	"""Walk, don't run!"""	"""[MASK], don't run!"""	0
1590	The lovers held hands while walking.	The lovers held hands while [MASK].	0
1591	I'll walk you to your car	I'll [MASK] you to your car	0
1592	Paul walked the streets of Damascus.	Paul [MASK] the streets of Damascus.	0
1593	We must walk with our dispossessed brothers and sisters.	We must [MASK] with our dispossessed brothers and sisters.	0
1594	The horses walked across the meadow.	The horses [MASK] across the meadow.	0
1595	He walks the horse up the mountain.	He [MASK] the horse up the mountain.	0
1596	wallow in your sorrows	[MASK] in your sorrows	1
1597	pigs were wallowing in the mud	pigs were [MASK] in the mud	0
1598	wallow in your success!	[MASK] in your success!	1
1599	I want to go home now	I [MASK] to go home now	0
1600	This piano wants the attention of a competent tuner	This piano [MASK] the attention of a competent tuner	1
1601	Your former neighbor is wanted by the FBI	Your former neighbor is [MASK] by the FBI	0
1602	I want you here at noon!	I [MASK] you here at noon!	0
1603	want the strength to go on living	[MASK] the strength to go on living	0
1604	The director warned him that he might be fired.	The director [MASK] him that he might be fired.	0
1605	I warned him not to go too far.	I [MASK] him not to go too far.	0
1606	The old man warned the children off his property.	The old man [MASK] the children off his property.	0
1607	I warned you that I would ask some difficult questions.	I [MASK] you that I would ask some difficult questions.	0
1608	He wasted his inheritance on his insincere friends.	He [MASK] his inheritance on his insincere friends.	1
1609	Don't waste a joke on an unappreciative audience.	Don't [MASK] a joke on an unappreciative audience.	1
1610	We waste the dirty water by channeling it into the sewer.	We [MASK] the dirty water by channeling it into the sewer.	0
1611	The water wastes back into the ocean.	The water [MASK] back into the ocean.	1
1612	We watered the buffalo	We [MASK] the buffalo	0
1613	My mouth watered at the prospect of a good dinner	My mouth [MASK] at the prospect of a good dinner	0
1614	His eyes were watering	His eyes were [MASK]	0
1615	She was wearing yellow that day	She was [MASK] yellow that day	0
1616	He always wears a smile	He always [MASK] a smile	1
1617	wear one's hair in a certain way	[MASK] one's hair in a certain way	0
1618	What should I wear today?	What should I [MASK] today?	0
1619	wharf the passengers	[MASK] the passengers	1
1620	the big ship wharfed in the evening	the big ship [MASK] in the evening	0
1621	The ship was wharfed	The ship was [MASK]	0
1622	The bullets whistled past him	The bullets [MASK] past him	1
1623	She whistled a melody	She [MASK] a melody	0
1624	Her optimism whistled away these worries	Her optimism [MASK] away these worries	1
1625	She whistled for her maid	She [MASK] for her maid	0
1626	I wish I could go home now.	I [MASK] I could go home now.	0
1627	I wish that Christmas were over.	I [MASK] that Christmas were over.	0
1628	We wish you a nice evening!	We [MASK] you a nice evening!	0
1629	I worry about my job	I [MASK] about my job	0
1630	I worry about my grades	I [MASK] about my grades	0
1631	I cannot sleep--my daughter's health is worrying me	I cannot sleep--my daughter's health is [MASK] me	0
1632	I worry about the second Germanic consonant shift	I [MASK] about the second Germanic consonant shift	0
1633	He wrestled all his life with his feeling of inferiority.	He [MASK] all his life with his feeling of inferiority.	1
1634	I wrestled with this decision for years.	I [MASK] with this decision for years.	1
1635	The children wrestled in the garden.	The children [MASK] in the garden.	0
1636	She writes code faster than anybody else.	She [MASK] code faster than anybody else.	0
1637	Please write to me every week.	Please [MASK] to me every week.	0
1638	How many books did Georges Simenon write?	How many books did Georges Simenon [MASK]?	0
1639	The twentieth century saw intensive development of new technologies	The twentieth century [MASK] intensive development of new technologies	1
1640	Our conversation turned to the subject of “tongues”.	Our conversation [MASK] to the subject of “tongues”.	1
1641	The resumption of school brought relief to thousands of children.	The resumption of school [MASK] relief to thousands of children.	1
1642	Utah’s economy is moving in the right direction.	Utah’s economy is [MASK] in the right direction.	1
1643	The service will meet your expectations.	The service will [MASK] your expectations.	1
1644	I hope all her marketing materials live the dream.	I hope all her marketing materials [MASK] the dream.	1
1645	Three years later, unemployment stands at 8.2 percent. 	Three years later, unemployment [MASK] at 8.2 percent. 	1
1646	Actions talk even louder than phrases. 	Actions [MASK] even louder than phrases. 	1
1647	This statement sits oddly in the article.	This statement [MASK] oddly in the article.	1
1648	Personal income has not fallen because of welfare programs.	Personal income has not [MASK] because of welfare programs.	1
1649	The silence spoke volumes, none of which he wanted to hear.	The silence [MASK] volumes, none of which he wanted to hear.	1
1650	Our car decided to act raggedy on Friday, we had to take it to the shop.	Our car [MASK] to act raggedy on Friday, we had to take it to the shop.	1
1651	My computer battery died.	My computer battery [MASK].	1
1652	If you walk documents into the office, you can also pay by VISA or MasterCard.	If you [MASK] documents into the office, you can also pay by VISA or MasterCard.	1
1653	The company is letting money walk out the door.	The company is letting money [MASK] out the door.	1
1654	They are accidents waiting to happen.	They are accidents [MASK] to happen.	1
1655	Texans broke their own record for electricity demand for the third time this month.	Texans [MASK] their own record for electricity demand for the third time this month.	1
1656	Two Fridays ago, temperatures broke 100 across central Indiana.	Two Fridays ago, temperatures [MASK] 100 across central Indiana.	1
1657	Will insurance cover my care?	Will insurance [MASK] my care?	1
1658	He also says the state needs to cut spending on Medicaid.	He also says the state needs to [MASK] spending on Medicaid.	1
1659	Hawaii kills proposal for home energy loans.	Hawaii [MASK] proposal for home energy loans.	1
